protein	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	caudate	cerebellum	cerebral cortex	cervix	colon	duodenum	endometrium 1	endometrium 2	epididymis	esophagus	fallopian tube	gallbladder	heart muscle	hippocampus	kidney	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	placenta	prostate	rectum	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	spleen	stomach 1	stomach 2	testis	thyroid gland	tonsil	urinary bladder	vagina	nan	hypothalamus	endometrium	hair	retina	lactating breast	skin	thymus	cartilage	eye	pituitary gland	choroid plexus	dorsal raphe	substantia nigra	sole of foot	
NDUFB10	0	3	2	1	2	2	3	3	2	2	2	3	3	2	2	2	3	3	3	3	3	2	1	3	3	2	2	3	3	2	-100	3	2	3	2	0	0	3	2	1	0	2	3	0	3	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PDPK1	0	2	0	3	0	2	2	3	1	2	2	2	1	1	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	0	0	1	2	1	3	1	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TIGD7	0	2	0	2	2	2	2	0	0	2	1	2	2	1	2	2	2	2	1	0	2	1	1	2	2	2	0	1	2	2	0	2	2	2	1	2	0	2	1	0	0	0	2	2	2	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DEF8	1	3	2	3	1	3	3	2	2	2	2	3	2	2	3	3	2	2	1	1	3	3	2	2	3	2	1	2	2	2	1	2	2	2	3	3	2	3	2	2	1	1	3	3	0	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TCF25	1	3	1	3	2	3	3	2	1	2	1	3	3	3	3	2	3	3	2	3	3	3	2	2	3	2	2	2	2	2	3	3	2	3	1	2	2	3	2	1	1	1	3	3	0	2	3	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GALNS	0	3	1	3	1	0	2	0	2	2	2	3	3	3	3	2	0	3	2	2	0	3	1	1	0	2	0	3	3	3	3	3	2	3	2	0	2	3	1	-100	0	1	3	2	0	3	3	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GAS8	0	3	1	2	1	3	2	1	2	2	2	2	3	2	2	2	3	3	1	0	3	1	2	2	3	2	0	0	0	2	2	3	2	2	2	2	2	3	2	0	0	2	3	3	0	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MED9	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NCOR1	0	2	1	1	0	0	2	2	0	3	3	3	2	2	2	2	2	2	2	2	3	2	2	2	0	2	0	1	2	2	2	3	2	2	2	0	0	3	2	0	0	1	2	3	2	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
COPS3	2	3	2	3	3	2	2	3	2	3	2	2	2	2	3	3	2	2	3	2	3	0	2	2	2	1	2	2	3	2	2	3	2	2	3	2	2	2	3	-100	2	3	2	2	2	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GID4	1	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	0	1	0	2	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ZNF287	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MYOCD	2	2	2	2	2	2	2	1	0	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	3	2	2	0	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	1	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KSR1	1	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	1	2	2	2	2	2	2	1	1	2	3	1	1	1	2	2	3	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
UTP4	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CTRL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DPEP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GFOD2	1	1	2	1	0	2	0	0	3	3	2	2	1	0	3	3	3	2	1	0	3	2	0	0	2	2	1	0	2	3	3	1	2	2	0	2	3	2	2	1	1	0	2	3	2	3	1	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NOB1	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	1	2	2	0	2	0	2	2	2	2	2	2	2	1	0	0	0	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PRPSAP2	2	2	2	2	0	-100	0	3	1	2	1	2	0	1	1	2	1	2	2	1	2	2	1	2	1	2	1	2	2	1	1	1	2	1	1	0	1	2	1	0	2	0	1	1	3	2	3	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PCTP	0	2	0	2	2	2	3	2	1	2	3	3	2	2	3	3	2	3	3	2	3	2	1	2	2	2	2	1	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TOM1L1	-100	2	2	1	2	2	1	1	1	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	1	2	0	0	2	2	1	2	2	2	2	2	2	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KIF2B	1	1	0	2	2	2	1	2	2	3	1	3	2	2	2	2	1	2	2	2	3	2	2	1	2	2	0	0	2	2	1	2	2	1	2	1	3	3	1	1	1	0	3	2	1	2	3	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
C17orf80	2	3	1	3	3	3	2	2	2	3	2	3	2	2	2	3	2	3	2	2	3	3	3	2	3	2	1	2	3	2	2	3	3	2	2	2	3	3	2	0	2	3	3	3	3	2	3	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TOB1	0	2	0	0	2	2	2	2	0	2	1	2	1	1	1	2	2	2	1	1	2	1	2	0	-100	2	1	1	1	0	0	2	2	2	2	2	2	2	2	1	1	0	1	1	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
VPS53	1	2	2	3	3	2	2	3	3	2	3	3	2	2	2	2	2	3	2	3	2	2	2	2	-100	2	0	2	3	3	2	3	3	2	2	3	2	2	2	-100	2	2	3	2	3	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SGSM2	3	3	2	3	2	3	2	2	1	2	2	3	3	3	3	2	3	3	2	2	3	2	3	2	3	2	2	2	3	3	3	3	2	3	2	3	3	3	2	2	2	3	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NPEPPS	0	1	0	1	1	2	0	0	2	0	1	2	2	2	1	2	2	2	2	1	2	2	1	0	2	0	0	2	2	0	1	2	0	1	2	0	0	2	0	0	0	0	2	2	2	2	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SKAP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LRRC46	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SCRN2	2	2	1	1	2	-100	1	2	0	0	3	2	1	1	1	1	1	2	0	1	3	2	1	0	2	1	0	1	1	2	1	2	2	2	0	1	1	2	0	1	1	0	2	2	2	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SSH2	0	2	0	1	3	1	0	0	2	0	1	0	0	0	2	1	1	1	2	0	1	1	0	2	0	0	0	0	0	0	1	2	0	2	2	2	0	2	3	0	0	0	2	0	3	1	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RHBDL3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SPACA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ARSG	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ABCA8	2	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	-100	0	0	1	2	1	0	-100	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CLTC	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	0	2	0	2	0	1	2	3	3	2	2	2	2	0	1	1	2	0	0	0	1	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CHCT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
BCAS3	0	2	1	2	2	0	2	2	0	0	0	2	2	2	2	1	1	2	1	3	2	2	1	1	0	1	0	2	2	1	1	2	2	2	0	1	2	2	0	-100	0	0	2	2	2	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PTRH2	0	3	3	3	3	3	2	3	2	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	2	2	3	3	2	1	1	3	3	3	3	3	3	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SS18	0	2	0	1	2	2	0	2	0	0	0	2	2	1	1	1	1	3	0	0	0	1	1	0	3	1	0	1	1	1	1	3	2	2	0	0	0	2	0	0	0	0	0	0	3	1	0	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TAF4B	0	2	0	0	0	1	2	2	2	0	1	2	2	1	0	1	0	2	2	2	2	2	2	1	2	1	0	1	2	0	0	2	2	0	1	0	0	2	1	0	1	0	2	2	2	1	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
AFG3L2	1	3	1	1	0	2	2	0	1	2	3	3	3	2	3	3	3	3	1	2	2	0	2	3	3	2	1	2	3	2	2	3	1	3	1	2	2	3	1	0	1	3	3	3	2	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
IMPA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GNAL	0	2	2	0	0	0	3	0	0	0	0	1	0	2	2	0	2	0	0	0	0	0	2	1	-100	-100	0	0	0	0	2	1	0	2	0	0	0	2	0	0	0	2	0	0	2	0	3	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC39A6	1	3	0	1	0	0	0	2	1	1	2	2	2	3	2	2	3	2	2	1	2	2	0	0	2	1	0	2	1	0	2	1	1	0	0	1	1	2	2	1	1	0	2	1	2	0	1	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RPRD1A	2	3	1	1	2	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	1	1	2	-100	3	2	3	2	1	3	2	3	3	3	2	3	3	2	2	2	1	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
C18orf21	0	1	0	0	0	0	0	2	0	2	1	2	1	0	0	1	1	1	1	0	3	1	0	0	-100	1	0	0	1	1	0	2	1	3	1	0	0	1	2	0	0	0	1	1	2	1	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GALNT1	2	3	2	2	2	3	2	2	2	2	1	3	3	3	3	3	2	3	2	2	2	2	3	2	3	0	2	2	3	3	3	3	2	2	2	2	2	2	2	3	2	1	3	3	3	3	2	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ASXL3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ADCYAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-100	1	-100	-100	-100	-100	-100	-100	-100	-100	3	-100	-100	-100	-100	
MEP1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC25A52	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GAREM1	0	2	0	1	1	0	1	1	1	0	3	3	3	1	3	2	2	3	2	0	2	2	2	2	-100	2	0	0	1	2	1	3	0	2	2	0	2	3	3	0	0	1	3	3	2	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ESCO1	3	3	2	2	3	3	1	2	2	2	2	3	2	2	3	3	3	3	3	1	3	3	3	3	3	2	1	2	2	3	3	3	2	3	2	3	2	3	2	2	3	0	3	3	2	2	3	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
OSBPL1A	1	2	2	2	2	3	2	2	3	2	2	2	2	2	-100	2	0	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	0	0	2	2	1	1	1	2	2	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GATA6	-100	2	2	1	0	1	0	0	0	1	3	3	2	0	1	1	2	3	0	0	0	0	0	2	-100	-100	0	3	0	3	0	3	2	0	0	0	2	3	0	-100	0	0	3	3	0	0	2	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GREB1L	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RMC1	2	1	0	0	0	1	0	0	0	0	2	2	1	1	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	2	1	0	0	0	2	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PELP1	0	3	2	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	1	3	2	3	3	2	3	2	3	2	3	2	3	3	2	3	3	3	2	2	2	2	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NPC1	1	3	1	2	1	2	2	1	1	1	1	2	1	1	2	2	2	2	2	2	3	2	2	1	2	2	1	2	1	2	2	2	2	3	2	1	2	2	2	0	1	1	2	2	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC14A1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC13A5	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
WRAP53	1	2	1	1	2	2	2	2	0	2	2	2	1	2	2	2	2	2	1	2	0	1	2	2	2	2	1	2	2	2	2	2	1	2	1	1	2	2	1	1	1	1	2	2	2	2	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MINK1	0	0	2	0	2	2	0	0	0	3	0	3	2	2	2	3	2	2	0	1	2	0	3	2	2	3	0	1	0	3	2	3	2	2	0	2	2	3	0	0	0	1	2	2	1	2	3	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SAT2	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ASGR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	1	1	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PIK3R5	0	2	2	1	0	1	0	0	0	0	0	2	0	0	2	0	1	2	0	0	2	0	2	0	2	0	0	0	0	1	0	2	1	2	0	0	0	2	0	0	0	0	2	2	0	2	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TP53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CCDC40	-100	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	1	0	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ARHGDIA	2	2	3	2	1	1	2	2	2	2	2	2	2	2	2	2	2	3	1	2	2	1	3	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	3	3	3	3	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TMC6	1	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	3	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC16A3	2	3	2	3	2	3	1	3	2	2	2	3	3	3	2	3	2	2	2	1	2	2	2	3	3	2	0	1	2	3	2	3	3	2	3	2	2	3	2	2	2	2	3	3	2	3	3	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
EIF4A3	1	3	2	3	3	3	3	3	1	3	2	3	3	3	3	3	3	3	3	3	0	2	3	2	3	3	2	2	3	3	3	3	3	2	2	0	2	3	3	2	0	2	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CSNK1D	2	3	2	2	2	3	3	3	2	2	2	3	2	2	3	3	3	3	2	3	3	2	2	2	3	3	1	3	2	3	2	3	3	2	2	2	3	2	1	0	2	1	3	3	2	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ANAPC11	0	2	0	0	0	2	2	1	0	1	0	2	1	1	1	1	1	2	0	2	2	1	0	0	1	1	0	0	-100	0	0	0	0	0	0	0	2	2	1	0	0	0	2	1	2	2	1	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TBCD	0	0	0	0	-100	0	0	1	0	0	0	2	0	0	2	0	0	2	1	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	1	-100	0	0	3	3	1	2	0	0	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FN3KRP	0	2	2	0	1	-100	1	2	1	0	1	1	0	1	1	1	1	1	2	0	2	0	1	1	2	1	0	1	0	1	1	2	0	1	2	0	2	2	2	0	0	1	1	2	2	0	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RPTOR	2	3	1	3	3	2	0	2	1	2	2	2	1	2	2	3	0	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	1	2	1	2	3	2	1	2	1	2	2	2	2	3	2	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FOXK2	0	2	0	1	1	3	2	3	1	2	3	2	1	0	2	2	2	2	2	0	2	1	0	0	3	2	0	2	2	2	1	3	0	1	2	1	2	3	1	0	0	0	0	0	0	1	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TRIM65	0	2	2	2	0	0	1	2	0	0	2	2	2	2	3	0	0	2	2	2	2	1	2	2	1	0	0	1	2	2	2	2	2	2	0	1	1	3	0	2	0	2	2	2	0	2	2	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CBX8	1	2	0	3	2	3	1	2	1	1	3	2	2	1	2	2	0	2	2	0	2	0	1	1	3	1	0	2	0	2	2	3	2	2	2	3	2	1	2	0	0	0	2	0	3	2	1	2	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SECTM1	0	2	3	2	2	0	2	2	1	2	2	3	2	1	1	2	0	2	3	2	3	2	1	2	0	2	1	1	1	0	2	3	2	3	2	2	2	3	0	-100	2	1	2	3	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RNF157	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CEP131	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ZNF750	1	2	0	1	0	0	2	2	1	2	0	0	0	0	0	3	2	1	2	0	2	0	1	0	1	2	0	0	1	2	0	1	0	0	1	1	2	2	2	0	2	0	2	1	2	2	2	1	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CBX4	0	2	0	3	2	3	1	3	1	2	1	3	3	2	2	2	2	3	1	2	3	0	3	1	-100	2	0	1	-100	3	1	3	2	2	0	1	3	1	2	1	0	0	3	3	1	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RNF165	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
